Composition,Temperature,Stage,Delta_Temperature,First_Temperature,Last_Temperature,Max_AtomicVolume,Max_CN,Max_CavityRadius,Max_Displacement,Max_Temperature,Mean_AtomicVolume,Mean_CN,Mean_CavityRadius,Mean_Displacement,Mean_Temperature,Median_AtomicVolume,Median_CN,Median_CavityRadius,Median_Displacement,Min_AtomicVolume,Min_CN,Min_CavityRadius,Min_Displacement,Min_Temperature,Std_AtomicVolume,Std_CN,Std_CavityRadius,Std_Displacement,Std_Temperature
5050,300,cooling,-233.35399999999993,574.348,340.994,2047.58,24.0,20.5886,0.0,576.976,37.521122650873714,12.310394523509277,3.8265929264997296,0.0,460.000115,12.05685,12.0,2.724565,0.0,2.09895,1.0,1.47923,0.0,340.994,109.98311278334737,3.1531542635789114,2.9981322047518764,0.0,68.89595119838756
5050,350,equilibrium,123.57499999999999,178.231,301.806,2922.58,24.0,30.46,0.0,308.46,37.52112197622049,13.518284993694829,3.569698453431814,0.0,276.768515,10.49175,14.0,2.34313,0.0,2.10642,3.0,1.45265,0.0,178.231,146.94638951533193,3.2537324564755887,3.86405010735081,0.0,37.98302919494303
5050,350,bed,31.555000000000007,302.466,334.021,2766.72,24.0,25.6269,0.0,334.988,37.52112134119979,12.306971716807782,3.769001420464782,0.0,315.92312333333336,12.3107,12.0,2.7641400000000003,0.0,2.28311,2.0,1.47107,0.0,297.17,127.77060530260859,3.1517463610963654,3.1759871164862106,0.0,10.003918915790011
5050,350,laser,280.1360000000001,335.006,615.142,3305.17,23.0,22.4344,0.0,615.142,37.521119337957124,12.443883984867592,3.7634378085029723,0.0,470.8688575,11.980699999999999,12.0,2.704805,0.0,2.33716,1.0,1.42869,0.0,333.229,131.90095699042945,3.153442213680948,3.0948384768259856,0.0,84.58467534850342
5050,350,hold,-0.7099999999999227,618.126,617.416,3245.89,24.0,20.8304,0.0,634.453,37.52112131778058,12.091695190055846,3.8207155314357775,0.0,622.82326375,12.569600000000001,12.0,2.792715,0.0,2.35129,1.0,1.46921,0.0,611.547,121.7404631943379,3.1398455758533204,2.9304460516547564,0.0,4.124361854283312
5050,350,cooling,-274.702,618.318,343.616,3286.51,23.0,19.2883,0.0,624.139,37.521122909385696,12.015492704017294,3.8541967078003965,0.0,486.575595,12.90625,12.0,2.84516,0.0,2.06717,1.0,1.45026,0.0,343.105,111.75367418208668,3.1490227128465893,2.739789551836021,0.0,83.1127393045901
6040,100,equilibrium,95.588,204.593,300.181,7364.25,26.0,28.621,0.0,305.714,34.59006362715554,13.369830905742507,3.4517561300853843,0.0,284.21127,10.4006,13.0,2.366465,0.0,2.79897,1.0,1.44654,0.0,204.593,154.1052085382497,3.223268363274332,3.4643302692303046,0.0,28.424188750388083
6040,100,bed,31.56800000000004,301.27,332.838,4214.5,23.0,24.5933,0.0,334.778,34.59006540013393,12.331491712707182,3.6371948049556337,0.0,316.25082,11.8592,12.0,2.683585,0.0,2.72494,1.0,1.43477,0.0,298.557,123.64435848802079,3.1427232329917683,3.010590888064261,0.0,9.880961141061661
6040,100,laser,39.01799999999997,332.718,371.736,2666.98,24.0,25.1778,0.0,375.228,34.59006302109493,12.62765779340365,3.5474803273062108,0.0,352.867635,11.2183,13.0,2.535235,0.0,2.69872,1.0,1.42529,0.0,329.822,125.93558322735383,3.1354762862528878,3.0348366595878162,0.0,12.005642205174684
6040,100,hold,1.7899999999999636,372.742,374.532,3214.63,24.0,24.8826,0.0,379.648,34.59006476644901,12.854177130420224,3.50063897120375,0.0,373.22546875,10.842749999999999,13.0,2.46471,0.0,2.70943,1.0,1.43987,0.0,366.077,130.13897710329292,3.1431851583075634,3.1046486660754318,0.0,2.341459417067838
