Temperature,Stage,Position,CoordAvg,VolAvg,CavAvg,DispAvg,Composition
150,laser,Start,12.6809464893288,33.35066469300959,3.488082394834519,0.0,7030
150,laser,Middle,12.68233838540056,33.35066668806062,3.47211544076709,2.30053720272193,7030
150,laser,End,12.71682647695639,33.35066431333128,3.45807337612125,3.097788795793381,7030
150,hold,Start,12.71682647695639,33.35066431333128,3.45807337612125,0.0,7030
150,hold,Middle,12.72486854314878,33.35066799489638,3.457308079956696,2.916194080938757,7030
150,hold,End,12.81920816579029,33.35066383235385,3.375753042066193,4.061655629191154,7030
150,cooling,Start,12.81920816579029,33.35066383235385,3.375753042066193,0.0,7030
150,cooling,Middle,12.98499845344881,33.35066974095268,3.389482775286112,1.966601893813795,7030
150,cooling,End,13.02319826786267,33.35066780931024,3.380156237240952,2.390277458598824,7030
200,equilibrium,Start,13.26554283946799,33.35066707469841,3.409694201979586,0.0,7030
200,equilibrium,Middle,12.42251778533869,33.35066662465202,3.525300653417878,2.675238033854005,7030
200,equilibrium,End,12.41679554593257,33.3506677567275,3.550253004948964,3.976363735926384,7030
200,bed,Start,12.41679554593257,33.35066778765852,3.550253004948964,0.0,7030
200,bed,Middle,12.58382307454377,33.35066545081967,3.504278898082276,2.442969537813177,7030
200,bed,End,12.6809464893288,33.35066469300959,3.488082394834519,3.303597585222704,7030
200,laser,Start,12.6809464893288,33.35066469300959,3.488082394834519,0.0,7030
200,laser,Middle,12.63377667800804,33.35066578951438,3.493252673213734,2.322837314901021,7030
200,laser,End,12.52567274976802,33.35066914939685,3.4441819803588,3.304780121613053,7030
200,hold,Start,12.52567274976802,33.35066914939685,3.4441819803588,0.0,7030
200,hold,Middle,12.49644293226106,33.35066834209712,3.460293596504795,3.237924645128364,7030
200,hold,End,12.53386947107949,33.35066594726261,3.418791756882152,4.34799745165481,7030
200,cooling,Start,12.53386947107949,33.35066594726261,3.418791756882152,0.0,7030
200,cooling,Middle,12.72193009588617,33.35066524899474,3.410259527528611,2.180362346064027,7030
200,cooling,End,12.89189607175997,33.35066704608722,3.394506657902876,2.645821784557686,7030
250,equilibrium,Start,13.26554283946799,33.35066707469841,3.409694201979586,0.0,7030
250,equilibrium,Middle,12.42251778533869,33.35066662465202,3.525300653417878,2.675238033854005,7030
250,equilibrium,End,12.41679554593257,33.3506677567275,3.550253004948964,3.976363735926384,7030
250,bed,Start,12.41679554593257,33.35066778765852,3.550253004948964,0.0,7030
250,bed,Middle,12.58382307454377,33.35066545081967,3.504278898082276,2.442969537813177,7030
