Composition,Temperature,Feature,Equilibrium,Bed,Laser,Hold,Cooling,Delta_Equilibrium_to_Bed,PctChange_Equilibrium_to_Bed,Delta_Bed_to_Laser,PctChange_Bed_to_Laser,Delta_Laser_to_Hold,PctChange_Laser_to_Hold,Delta_Hold_to_Cooling,PctChange_Hold_to_Cooling,Total_Change,Total_PctChange
5050,200,Mean_AtomicVolume,37.52112197622049,37.52112134119979,37.521119337957124,37.52112219239777,37.52112118357053,-6.350207044647505e-07,-1.6924352765016014e-06,-2.003242663306537e-06,-5.338973334751836e-06,2.8544406447394977e-06,7.607557277354164e-06,-1.008827240411847e-06,-2.6886915461612914e-06,-7.926499634436368e-07,-2.112543340111176e-06
5050,200,Std_AtomicVolume,146.94638951533193,127.77060530260859,131.90095699042945,131.10219524203464,131.96791460014546,-19.175784212723343,-13.049510284648811,4.130351687820863,3.2326306023507083,-0.79876174839481,-0.605576916665409,0.8657193581108231,0.6603393303312528,-14.978474915186467,-10.193156133056034
5050,200,Min_AtomicVolume,2.10642,2.28311,2.33716,2.19959,2.23525,0.17669000000000024,8.388165702946242,0.05404999999999971,2.367384839101038,-0.13756999999999975,-5.886203768676503,0.035660000000000025,1.6212112257284323,0.12883000000000022,6.116064222709632
5050,200,Max_AtomicVolume,2922.58,2766.72,3305.17,4983.57,2657.67,-155.86000000000013,-5.332959234648842,538.4500000000003,19.461673027989836,1678.3999999999996,50.78104908370824,-2325.8999999999996,-46.671362095846945,-264.90999999999985,-9.064251449062127
5050,200,Median_AtomicVolume,10.49175,12.3107,11.980699999999999,11.803249999999998,11.329799999999999,1.818950000000001,17.33695522672577,-0.33000000000000185,-2.6805949296140907,-0.17745000000000033,-1.4811321542146982,-0.4734499999999997,-4.01118336051511,0.8380499999999991,7.98770462506254
5050,200,Mean_CavityRadius,3.569698453431814,3.769001420464782,3.7634378085029723,3.767590325166637,3.689745200864709,0.1993029670329678,5.583187757536303,-0.005563611961809656,-0.14761501366384647,0.004152516663664674,0.11033838939181169,-0.0778451243019278,-2.0661780497189484,0.120046747432895,3.362938046419165
5050,200,Std_CavityRadius,3.86405010735081,3.1759871164862106,3.0948384768259856,3.090815666354908,3.255023338292442,-0.6880629908645992,-17.80678230739442,-0.08114863966022501,-2.5550682885012685,-0.004022810471077776,-0.1299845048845167,0.16420767193753427,5.312761732283742,-0.6090267690583677,-15.761357957024943
5050,200,Min_CavityRadius,1.45265,1.47107,1.42869,1.45335,1.41792,0.018420000000000103,1.2680273982032908,-0.042380000000000084,-2.880896218398858,0.024659999999999904,1.726056737290798,-0.03542999999999985,-2.4378160800908146,-0.03472999999999993,-2.3908030151791504
5050,200,Max_CavityRadius,30.46,25.6269,22.4344,20.0171,23.1778,-4.833100000000002,-15.867038739330274,-3.192499999999999,-12.457612898946026,-2.417300000000001,-10.774970580893632,3.160700000000002,15.789999550384431,-7.2822,-23.907419566644776
5050,200,Median_CavityRadius,2.34313,2.7641400000000003,2.704805,2.62143,2.53455,0.42101000000000033,17.967846427641675,-0.05933500000000036,-2.1465989421664733,-0.08337499999999975,-3.082477295036047,-0.08688000000000029,-3.3142216271271896,0.19141999999999992,8.169414415760112
5050,200,Mean_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,200,Std_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,200,Min_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,200,Max_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,200,Median_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,200,Mean_Temperature,276.768515,315.92312333333336,399.7884025,473.28628125,406.8532124999999,39.154608333333385,14.14706016446032,83.86527916666665,26.54610345763758,73.49787874999998,18.38419481165414,-66.43306875000007,-14.036550684406738,130.08469749999995,47.001262950736994
5050,200,Std_Temperature,37.98302919494303,10.003918915790011,40.17407637896297,2.803635983961121,40.04299153791594,-27.97911027915302,-73.6621350960552,30.170157463172963,301.58338664213795,-37.37044039500185,-93.02128079432528,37.239355553954816,1328.252161371575,2.0599623429729093,5.4233756144103635
5050,200,Min_Temperature,178.231,297.17,333.013,465.007,336.717,118.93900000000002,66.73305990540368,35.84299999999996,12.061446310192805,131.99400000000003,39.63629047514663,-128.29000000000002,-27.588831996077484,158.486,88.92168029130735
5050,200,Max_Temperature,308.46,334.988,469.127,481.636,474.351,26.52800000000002,8.60014264410297,134.139,40.04292691081472,12.509000000000015,2.6664421361379786,-7.285000000000025,-1.5125530483601775,165.89100000000002,53.780392919665445
